Date,Currency,FX_Rate,Exposure,Inflow,Outflow,Net_Position,Country
2024-05-01,USD,1.0,500000.0,250000.0,200000.0,50000.0,USA
2024-05-01,EUR,1.1,300000.0,150000.0,100000.0,50000.0,Nigeria
2024-05-01,GBP,1.3,200000.0,100000.0,80000.0,20000.0,UK
2024-05-01,NGN,450.0,100000.0,50000.0,40000.0,10000.0,Nigeria
2024-05-01,GHS,12.5,80000.0,40000.0,30000.0,10000.0,Ghana
2024-05-01,KES,120.0,70000.0,35000.0,25000.0,10000.0,Kenya
2024-05-02,USD,1.0,510000.0,255000.0,205000.0,50000.0,USA
2024-05-02,EUR,1.09,310000.0,155000.0,105000.0,50000.0,Nigeria
2024-05-02,GBP,1.31,210000.0,105000.0,84000.0,21000.0,UK
2024-05-02,NGN,455.0,105000.0,52500.0,42000.0,10500.0,Nigeria
2024-05-02,GHS,12.6,85000.0,42500.0,32000.0,10500.0,Ghana
2024-05-02,KES,121.0,75000.0,37500.0,27000.0,10500.0,Kenya
2024-05-03,USD,1.0,520000.0,260000.0,208000.0,52000.0,USA
2024-05-03,EUR,1.08,320000.0,160000.0,110000.0,50000.0,Nigeria
2024-05-03,GBP,1.32,220000.0,110000.0,88000.0,22000.0,UK
2024-05-03,NGN,460.0,110000.0,55000.0,44000.0,11000.0,Nigeria
2024-05-03,GHS,12.7,90000.0,45000.0,34000.0,11000.0,Ghana
2024-05-03,KES,122.0,80000.0,40000.0,29000.0,11000.0,Kenya
2024-05-04,USD,1.0,530000.0,265000.0,212000.0,53000.0,USA
2024-05-04,EUR,1.07,330000.0,165000.0,114000.0,51000.0,Nigeria
2024-05-04,GBP,1.33,230000.0,115000.0,92000.0,23000.0,UK
2024-05-04,NGN,465.0,115000.0,57500.0,46000.0,11500.0,Nigeria
2024-05-04,GHS,12.8,95000.0,47500.0,36000.0,11500.0,Ghana
2024-05-04,KES,123.0,85000.0,42500.0,31000.0,11500.0,Kenya
2024-05-05,USD,1.0,540000.0,270000.0,216000.0,54000.0,South Africa
2024-05-05,EUR,1.06,340000.0,170000.0,119000.0,51000.0,Nigeria
2024-05-05,GBP,1.34,240000.0,120000.0,96000.0,24000.0,South Africa
2024-05-05,NGN,470.0,120000.0,60000.0,48000.0,12000.0,Nigeria
2024-05-05,GHS,12.9,100000.0,50000.0,38000.0,12000.0,Ghana
2024-05-05,KES,124.0,90000.0,45000.0,33000.0,12000.0,Kenya
2024-05-06,USD,1.0,550000.0,275000.0,220000.0,55000.0,USA
2024-05-06,EUR,1.05,350000.0,175000.0,123000.0,52000.0,Nigeria
2024-05-06,GBP,1.35,250000.0,125000.0,100000.0,25000.0,UK
2024-05-06,NGN,475.0,125000.0,62500.0,50000.0,12500.0,Nigeria
2024-05-06,GHS,13.0,105000.0,52500.0,40000.0,12500.0,Ghana
2024-05-06,KES,125.0,95000.0,47500.0,35000.0,12500.0,Kenya
