Month,Department,Headcount,New_Hires,Terminations,Turnover_Rate,Avg_Leave_Days,Sick_Days,Location,Avg_Onboarding_Days
2023-06,Engineering,40,2,1,0.025,2.5,20,Lagos,15
2023-06,Product,25,1,0,0.0,2.0,10,Remote,18
2023-06,Finance,15,0,1,0.067,3.0,6,Lagos,20
2023-06,Operations,30,2,1,0.033,2.2,15,Accra,25
2023-06,Marketing,12,1,0,0.0,2.5,5,Remote,15
2023-06,HR,8,0,0,0.0,3.5,3,Lagos,10
2023-06,Legal,5,0,0,0.0,1.5,2,Lagos,30
2023-07,Engineering,41,3,2,0.049,2.7,22,Lagos,14
2023-07,Product,26,2,1,0.038,2.2,11,Remote,17
2023-07,Finance,14,0,1,0.071,3.2,5,Lagos,22
2023-07,Operations,31,2,1,0.032,2.3,16,Accra,24
2023-07,Marketing,13,1,0,0.0,2.6,6,Remote,14
2023-07,HR,8,0,0,0.0,3.6,3,Lagos,11
2023-07,Legal,5,0,0,0.0,1.6,2,Lagos,28
2023-08,Engineering,42,2,1,0.024,2.9,21,Lagos,13
2023-08,Product,27,1,0,0.0,2.4,12,Remote,16
2023-08,Finance,15,2,1,0.067,3.4,6,Lagos,21
2023-08,Operations,32,1,0,0.0,2.4,17,Accra,23
2023-08,Marketing,14,1,0,0.0,2.7,7,Remote,13
2023-08,HR,9,1,0,0.0,3.7,4,Lagos,10
2023-08,Legal,5,0,0,0.0,1.7,2,Lagos,27
2023-09,Engineering,43,2,1,0.023,3.1,20,Lagos,13
2023-09,Product,28,1,0,0.0,2.6,13,Remote,15
2023-09,Finance,16,1,0,0.0,3.6,7,Lagos,20
2023-09,Operations,33,1,0,0.0,2.5,18,Accra,22
2023-09,Marketing,15,1,0,0.0,2.8,8,Remote,12
2023-09,HR,9,0,0,0.0,3.8,4,Lagos,10
2023-09,Legal,6,1,0,0.0,1.8,3,Lagos,26
2023-10,Engineering,44,2,1,0.023,3.3,22,Lagos,12
2023-10,Product,29,1,0,0.0,2.8,14,Remote,15
2023-10,Finance,17,1,0,0.0,3.8,8,Lagos,19
2023-10,Operations,34,1,0,0.0,2.6,19,Accra,21
2023-10,Marketing,16,1,0,0.0,2.9,9,Remote,12
2023-10,HR,10,1,0,0.0,3.9,5,Lagos,9
2023-10,Legal,6,0,0,0.0,1.9,3,Lagos,25
2023-11,Engineering,45,2,1,0.022,3.5,21,Lagos,12
2023-11,Product,30,1,0,0.0,3.0,15,Remote,14
2023-11,Finance,18,1,0,0.0,4.0,9,Lagos,18
2023-11,Operations,35,1,0,0.0,2.7,20,Accra,20
2023-11,Marketing,17,1,0,0.0,3.0,10,Remote,11
2023-11,HR,10,0,0,0.0,4.0,5,Lagos,9
2023-11,Legal,6,0,0,0.0,2.0,3,Lagos,24
2023-12,Engineering,46,2,1,0.022,3.7,23,Lagos,11
2023-12,Product,31,1,0,0.0,3.2,16,Remote,14
2023-12,Finance,19,1,0,0.0,4.2,10,Lagos,17
2023-12,Operations,36,1,0,0.0,2.8,21,Accra,19
2023-12,Marketing,18,1,0,0.0,3.1,11,Remote,11
2023-12,HR,11,1,0,0.0,4.1,6,Lagos,8
2023-12,Legal,7,1,0,0.0,2.1,4,Lagos,23
2024-01,Engineering,47,3,2,0.043,3.9,22,Lagos,11
2024-01,Product,32,1,0,0.0,3.4,17,Remote,13
2024-01,Finance,20,1,0,0.0,4.4,11,Lagos,16
2024-01,Operations,37,1,0,0.0,2.9,22,Accra,18
2024-01,Marketing,19,1,0,0.0,3.2,12,Remote,10
2024-01,HR,11,0,0,0.0,4.2,6,Lagos,8
2024-01,Legal,7,0,0,0.0,2.2,4,Lagos,22
2024-02,Engineering,48,2,1,0.021,4.1,24,Lagos,10
2024-02,Product,33,1,0,0.0,3.6,18,Remote,13
2024-02,Finance,21,1,0,0.0,4.6,12,London,15
2024-02,Operations,38,1,0,0.0,3.0,23,Accra,17
2024-02,Marketing,20,1,0,0.0,3.3,13,Remote,10
2024-02,HR,12,1,0,0.0,4.3,7,Lagos,7
2024-02,Legal,8,1,0,0.0,2.3,5,Lagos,21
2024-03,Engineering,49,2,1,0.02,4.3,25,Lagos,10
2024-03,Product,34,1,0,0.0,3.8,19,Remote,12
2024-03,Finance,22,1,0,0.0,4.8,13,London,14
2024-03,Operations,39,1,0,0.0,3.1,24,Accra,16
2024-03,Marketing,21,1,0,0.0,3.4,14,New York,9
2024-03,HR,12,0,0,0.0,4.4,7,Lagos,7
2024-03,Legal,8,0,0,0.0,2.4,5,Lagos,20
2024-04,Engineering,50,3,2,0.04,4.5,26,Lagos,9
2024-04,Product,35,1,0,0.0,4.0,20,Remote,12
2024-04,Finance,23,1,0,0.0,5.0,14,London,13
2024-04,Operations,40,1,0,0.0,3.2,25,Accra,15
2024-04,Marketing,22,1,0,0.0,3.5,15,New York,9
2024-04,HR,13,1,0,0.0,4.5,8,Lagos,6
2024-04,Legal,9,1,0,0.0,2.5,6,Lagos,19
2024-05,Engineering,51,3,2,0.039,4.7,25,Lagos,8
2024-05,Product,36,2,1,0.028,4.2,19,Remote,11
2024-05,Finance,24,1,0,0.0,5.2,13,London,12
2024-05,Operations,41,1,0,0.0,3.3,26,Accra,14
2024-05,Marketing,23,1,0,0.0,3.6,16,New York,8
2024-05,HR,13,0,0,0.0,4.6,8,Lagos,6
2024-05,Legal,9,0,0,0.0,2.6,6,Lagos,18
