Date,Channel,Country,Transaction_Volume,Successful_Transactions,Failed_Transactions,Success_Rate,Avg_Processing_Time_Sec,Retry_Count,Primary_Error
2024-05-01,Bank Transfer,Nigeria,2500,2375,125,0.95,4.5,40,Bank Rejection
2024-05-01,Card,Nigeria,3500,3395,105,0.97,2.5,30,Authentication Failure
2024-05-01,Mobile Money,Nigeria,1800,1764,36,0.98,3.2,15,Network Error
2024-05-01,Crypto,Nigeria,500,485,15,0.97,5.1,5,Timeout
2024-05-01,Cash Pickup,Nigeria,300,294,6,0.98,7.2,2,Authentication Failure
2024-05-01,Bank Transfer,Ghana,1200,1140,60,0.95,4.8,25,Bank Rejection
2024-05-01,Card,Ghana,800,776,24,0.97,2.3,10,Authentication Failure
2024-05-01,Mobile Money,Ghana,2200,2156,44,0.98,2.8,18,Network Error
2024-05-01,Crypto,Ghana,300,291,9,0.97,5.3,3,Timeout
2024-05-01,Cash Pickup,Ghana,150,147,3,0.98,7.5,1,Bank Rejection
2024-05-01,Bank Transfer,Kenya,900,855,45,0.95,4.6,20,Bank Rejection
2024-05-01,Card,Kenya,600,582,18,0.97,2.4,8,Authentication Failure
2024-05-01,Mobile Money,Kenya,1600,1568,32,0.98,2.9,12,Network Error
2024-05-01,Crypto,Kenya,200,194,6,0.97,5.2,2,Timeout
2024-05-01,Cash Pickup,Kenya,100,98,2,0.98,7.3,1,Insufficient Funds
2024-05-01,Bank Transfer,South Africa,800,760,40,0.95,4.7,18,Bank Rejection
2024-05-01,Card,South Africa,1200,1164,36,0.97,2.2,14,Authentication Failure
2024-05-01,Mobile Money,South Africa,300,294,6,0.98,3.1,3,Network Error
2024-05-01,Crypto,South Africa,400,388,12,0.97,5.0,4,Timeout
2024-05-01,Cash Pickup,South Africa,50,49,1,0.98,7.4,0,None
2024-05-01,Bank Transfer,USA,600,570,30,0.95,4.4,12,Bank Rejection
2024-05-01,Card,USA,2500,2425,75,0.97,2.1,20,Authentication Failure
2024-05-01,Crypto,USA,800,776,24,0.97,4.9,8,Timeout
2024-05-01,Bank Transfer,UK,500,475,25,0.95,4.3,10,Bank Rejection
2024-05-01,Card,UK,1800,1746,54,0.97,2.0,15,Authentication Failure
2024-05-01,Crypto,UK,600,582,18,0.97,4.8,6,Timeout
